Unique, e.g. BJ001;Must match Cities sheet;English name;中文名 (for taxis & maps);BJ001_cover.jpg;attraction / restaurant / experience / shopping / nightlife;2-3 objective sentences;What makes this special?;Practical tips for foreigners;Scams, closures, things to know;Comma-separated;Decimal, e.g. 39.9163;Decimal, e.g. 116.3972;Neighborhood name;"e.g. 08:30-17:00, or ""24h""";;Realistic visit time (minutes);"0=free, 1=cheap, 2=mid, 3=expensive; 4; 5";indoor / outdoor;any / daytime/ morning / afternoon / evening ;Comma-sep: solo, couple, freinds, family, elderly;best months for visit;YES / NO;1-5 scale (5=very friendly);
CQ011;CQ;Shibati;十八梯;CQ011_cover.jpg;attraction;A historic district connecting Chongqing’s upper and lower city, preserving the character of old Chongqing while now blending culture with modern commerce.;Old Chongqing city atmosphere. Night views. Tunnel relics.;Often combined with a visit to Shibati, first walking trail, then Shibati. The atmosphere is best after dark. When visiting directly, starting from Jiaochangkou Exit 11 allows for a mostly downhill route.;Comfortable sneakers are recommended. Avoid buying souvenirs inside the area.;Historical, Culture, Citywalk, Local Life, Photography, Local Snacks;29.5545;106.5692;Yuzhong;24h;;60;0;outdoor;evening;solo, couple, friends, family;3, 4, 5, 10, 11;NO;4;
CQ012;CQ;Hongyadong Dock;洪崖洞旅游客运码头;CQ012_cover.jpg;experience;A classic ferry experience offering close-up views of the Yangtze and Jialing rivers, especially at their confluence.;Ferry ride. Chongqing river views.;Tickets available on-site or via WeChat mini programs, around 15 CNY per person. One-way ride takes about 15 minutes. Departures also available from Danzishi Dock (弹子石码头). Multiple routes to choose from.;Arriving early helps secure better views on board. Service frequency is limited, so checking departure times in advance via the mini program is recommended.;River View, Immersive, Entertainment;29.5612;106.5775;Yuzhong;9:30;18:00;30;1;outdoor;daytime;solo, couple, friends, family, elderly;5, 6, 7, 8, 9, 10;YES;3;
CQ013;CQ;Ciqikou Ancient Town;磁器口古镇;CQ013_cover.jpg;attraction;A thousand-year-old town and a microcosm of Chongqing, playing a key role in the city’s cultural heritage and a popular place to experience traditional local life.;Stroll through the old town and soak in the slower pace of old Chongqing.;Taking a taxi directly to the main entrance（磁器口入口） is recommended. Enter from the front, explore at a relaxed pace, and exit via the back streets. Stopping at an open-air teahouse for a break is a great option.;Dining and souvenir shopping here are generally not recommended.;Historical, Culture, Local Snacks, Citywalk, Must-see;29.5823;106.4497;Shapingba;24h;;120;0;outdoor;any;solo, couple, friends, family, elderly;3, 4, 5, 10, 11;NO;5;
CQ014;CQ;Exploration Cabin · Cloud Paradise;探索仓·云端乐园;CQ014_cover.jpg;experience;An observation deck at the top of Raffles City, featuring high-altitude attractions such as the Skywalk and Cloud Swing, with panoramic views over Chongqing’s two rivers.;A combination of skyline views and thrilling high-altitude experiences.;Booking tickets at least one day in advance via Dianping is recommended. Sunset is the best time for attractions such as the Cloud Swing. Skirts, slippers, and loose accessories are not recommended.;Not suitable for those with a fear of heights. All attractions have age and height restrictions—check requirements before booking. Last entry at 21:15;Immersive, Entertainment, Skyline, Photography, Instagram;29.5639;106.5868;Yuzhong;10:00;22:00;60;2;indoor;evening;solo, couple, friends, family;;YES;5;
CQ015;CQ;World Trade Center Rooftop 131;世贸大厦131天台;CQ015_cover.jpg;experience;"A viral photo spot known for its dramatic angle and safety harness setup, creating a cinematic cyberpunk-style ""high-rise agent"" look against Chongqing’s skyline.";Cyberpunk atmosphere. City night views.;Photo packages with photography services should be booked at least one day in advance via Dianping, though hiring a personal photographer is also possible. Queue numbers are collected on-site on the day of entry. Dark-colored outfits are recommended for a stronger cyberpunk aesthetic.;"After attaching the safety harness, the shooting position is roughly two stories above the platform. Not recommended for those with a strong fear of heights. Guidance is provided before shooting, with around 3–5 minutes allocated per person; delays caused by personal issues such as fear of heights are generally not accommodated.";Skyline, River View, Photography, Instagram;29.5587;106.5774;Yuzhong;10:00;23:00;60;3;outdoor;evening;solo, couple, friends;;YES;3;
CQ016;CQ;Happy Valley Chongqing;重庆欢乐谷;CQ016_cover.jpg;experience;A large theme park ideal for entertainment and family visits, especially suitable for those traveling with children.;A wide range of thrilling rides and live performances.;Tickets can be purchased on-site or online. Admission covers both day and night sessions, with the night session running from 17:00 to 22:00.;Food inside the park is relatively expensive—bringing snacks and water is recommended. Long queues are common during holidays. Prices may vary during peak seasons or special events. ;Entertainment, Immersive;29.6718;106.5143;Liangjiang;9:00;22:00;300;3;outdoor;any;couple, friends, family;4, 5, 6, 9, 10;YES;3;
CQ017;CQ;Yangtze River Cableway;长江索道;CQ017_cover.jpg;experience;An aerial cable car crossing the Yangtze River, offering panoramic views of the city and river, and one of Chongqing’s most iconic experiences.;Crossing the Yangtze River. One of the best ways to enjoy Chongqing’s night skyline.;"Nearby attractions include Baixiangju, Jiefangbei, Shibati, and Hongyadong on the north side, and Xiahaoli and Longmenhao Old Street on the south side. Tickets are best booked in advance via the ""长江索道"" official WeChat mini program. Visiting after dark offers the most impressive city views. ";Tickets are time-slot based with queue numbers (e.g., 17:00–17:59). Arrival at the start of the time window is recommended, with total waiting time around one hour—plan accordingly. Opening hours may change in different periods.;Must-see, River View, Photography, Immersive, Landmark, Instagram;29.5578;106.5774;Yuzhong;8:00;22:00;60;1;outdoor;evening;solo, couple, friends, family, elderly;;YES;4;
CQ018;CQ;Time Square;时代天街;CQ018_cover.jpg;shopping;One of the largest single shopping complexes in China, made up of five sections (A–E) with over 1,200 brands, focusing on accessible, non-luxury retail and popular among young locals.;A comprehensive experience covering dining, shopping, and entertainment.;All sections are connected by walkways. In addition to shopping, a wide range of services can be found, including restaurants, bars, and salons. Fully air-conditioned in summer, making it a good place to escape the heat.;The complex is really large, so comfortable shoes are recommended, and sufficient time should be planned for a full visit.;Modern, Foodie, Local Life;29.5327;106.5105;Yuzhong;10:00;22:00;240;0;indoor;any;solo, couple, friends, family;;NO;4;
CQ019;CQ;Xiahaoli Old Street;下浩里老街;CQ019_cover.jpg;attraction;An emerging artsy district blending historic architecture with modern design, ideal for a slow stroll and photography.;A relaxed glimpse into Chongqing’s local lifestyle.;Best visited around sunset, with the most beautiful views after dark. The most popular photo spots are the Waterfall Viewing Platform and Haoyue Bookstore Terrace, with clear signage throughout the area. Most shops operate between 10:00 and 22:00.;The area is mostly uphill, so comfortable, non-slip shoes are recommended. Viewing platforms can get crowded, so allow extra time. Take sun protection and stay cool in summer. Steps may be slippery on rainy days.;Historical, Citywalk, Photography, Local Life;29.5612;106.596;Nanan;24h;;120;0;outdoor;evening;solo, couple, friends, family;3, 4, 5, 10, 11;NO;2;
CQ020;CQ;The Ring Shopping Park;光环购物广场;CQ020_cover.jpg;shopping;A shopping mall that gained popularity for its environment and design, known as a social media hotspot.;"The ""Luminous Forest"" indoor garden, featuring lush greenery reminiscent of Singapore-style design.";Direct access from Chongguang Road Station (Metro Line 5, Exit 1). Plenty of dining options nearby, though shopping variety is less comprehensive compared to places like MixC Mall. Most visually appealing on sunny summer days, with full air conditioning available.;"Best experienced on sunny days when natural light shines into the space; less impressive in other weather conditions.";Modern, Architecture, Photography;29.599;106.5142;Yubei;10:00;22:00;60;0;indoor;daytime;solo, couple, friends, family, elderly;;NO;2;
CQ021;CQ;Xiyangyang Restaurant;喜洋洋;CQ021_cover.jpg;restaurant;A long-running local favorite featured on Chongqing’s must-eat lists, serving a wide variety of traditional Chongqing home-style dishes for over 20 years.;Retro local-style restaurant. Offers a broad range of flavors—from light and savory to sweet, sour, and spicy—providing a great introduction to local Chongqing cuisine.;The menu is handwritten in Chinese with no photos—ordering via Dianping based on pictures of recommended dishes is helpful. Top picks include Steamed Pork Ribs with Millet, Signature Soy Sauce Chicken, and Fish-Fragrant Shredded Pork. Suitable for those who prefer mild flavors but still want to experience local food.;Queues are common during peak hours—taking a number in advance via Dianping is recommended. Tissues are charged separately. Closed during the Chinese New Year period.;Hotpot, Foodie, Must-try, Cuisine;29.5579;106.5728;Yuzhong;"Lunch: 11:00
Dinner: 17:00";"Lunch: 14:00
Dinner: 21:00";60;1;indoor;afternoon;solo, couple, friends, family, elderly;;YES;3;
CQ022;CQ;Yuanman Traditional Hot Pot;圆满老火锅;CQ022_cover.jpg;restaurant;A classic neighborhood hot pot restaurant with over 30 years of history, known for its authentic Chongqing flavors.;Authentic Chongqing hot pot. Fresh ingredients and a clean dining environment.;For those sensitive to spice, a 鸳鸯 (yuan-yang) pot (half spicy, half mild broth) is recommended. Spice levels are adjustable, mild spicy is suitable for most. The menu is in Chinese only, so ordering based on Dianping recommendations is helpful. Classic local ingredients such as beef tripe, duck blood, and braised chicken feet are worth trying depending on preference. For a break from the heat, try the brown sugar iced tofu pudding or chilled sweet rice balls available in-store.;Queues are common during peak hours and holidays. Reservations are only available by phone or in person—visiting off-peak or allowing extra waiting time is recommended. Hot pot can be messy and has a strong smell, clothes that already worn or clothes that can handle stains are recommended. Open during the Chinese New Year, though crowds may be heavier.;Hotpot, Must-try, Foodie, Cuisine;29.5568;106.5719;Liangjiang;10:30;1:00;120;1;indoor;any;solo, couple, friends, family, elderly;;YES;5;
CQ023;CQ;Zuiaixian Wushan Paper-Wrapped Fish;最爱鲜巫山纸包鱼;CQ023_cover.jpg;restaurant;A well-loved local restaurant with over 10 years of history, known for its signature Chongqing-style grilled fish and popular for group dining.;Live fish prepared fresh to order. Bold, spicy flavors that pair well with rice.;"A variety of fish options are available, Jiangtuan (longsnout catfish) is highly recommended as it has very few bones. Signature flavors include garlic and spicy; note that even the garlic option has some heat. Locals often pair the meal with desserts like liangxia or shaved ice from nearby shops. The menu is in Chinese only, so ordering via Dianping recommendations is helpful.";Outdoor seating and accessible facilities are available. Queue numbers can be taken in advance via Dianping. Open during the Chinese New Year.;Must-try, Foodie, Cuisine;29.5581;106.5722;Yuzhong;10:00;22:30;60;1;indoor;any;couple, friends, family, elderly;;YES;4;
CQ024;CQ;Heji Stir-Fry;和记火爆;CQ024_cover.jpg;restaurant;"A classic Chongqing jianghu cuisine restaurant, best known for its signature ""huobao"" (intense stir-fry) dishes.";Traditional jianghu-style cooking. Bold, spicy flavors that pair well with rice and drinks.;"The signature ""手撕鸭"" (shredded duck) is savory and not spicy. The ""火爆"" (huobao) series features rich, aromatic, and spicy flavors—popular choices include huobao beef tripe and huobao pork intestines, perfect with drinks.";Not ideal for those who cannot handle any spice. Reservations are by phone only. Lunch is usually less busy, while dinner can get crowded (around 30 minutes for waiting). Closed during the Chinese New Year period.;Local Snacks,  Foodie, Cuisine;29.5587;106.5725;Nanan;"Lunch: 11:30
Dinner: 17:00";"Lunch: 14:00
Dinner: 02:00";60;1;indoor;evening;solo, couple, friends, family, elderly;;NO;4;
CQ025;CQ;Xianfang Noodles;显芳面馆;CQ025_cover.jpg;restaurant;A local noodle shop with a casual, everyday vibe, offering authentic flavors and a glimpse into Chongqing’s daily food culture.;Affordable prices. Classic noodle dishes.;"Ordering can be done by scanning a QR code at the table. Mild spice is recommended for most. Signature items include pea & minced pork noodles, Chongqing noodles (plain), and red chili wontons. Noodle portions come in two sizes: ""二两 er liang"" (small) and ""三两 san liang"" (large).";Open all day. Complimentary soup and side dishes are available.;Local Snacks, Cuisine. Local Life;29.5559;106.5708;Yuzhong;24h;;30;1;indoor;any;solo, couple, friends, family, elderly;;NO;4;
CQ026;CQ;Sanyangzi;三样子;CQ026_cover.jpg;restaurant;A local favorite dessert shop known for its handmade traditional sweet soups, made from ingredients like rice, beans, and milk.;Light, low-sugar desserts at affordable prices. Refreshing and made to order.;Focused on low-sugar options, making it a good choice for those looking for something refreshing without too much sweetness. The menu includes photos, and ordering can be done by scanning a QR code at the table.;Multiple locations across Chongqing—opening hours may vary by branch.;Dessert, Takeaway, Local Life;29.5567;106.5715;Nanan;11:00;23:00;30;1;indoor;any;solo, couple, friends, family, elderly;;NO;4;
CQ027;CQ;Huang Yuming Barbecue;黄玉明烤肉;CQ027_cover.jpg;restaurant;A hillside barbecue restaurant overlooking Jiefangbei and the Yuzhong skyline, combining stunning night views with live music and a lively atmosphere.;A perfect mix of Chongqing night views and barbecue dining.;Traffic on the hillside can be heavy—walking about 10 minutes from Shangxinjie Station is recommended. Arriving before sunset on a clear day offers the best transition from daylight views to nighttime scenery with live music. Vegetable dishes can be refilled for free.;Reservations are not available, so arriving early for a good seat is recommended.;Foodie, Cuisine, Instagram, Skyline, Photography;29.5389;106.5847;Nanan;12:00;0:00;120;2;outdoor;evening;solo, couple, friends, family, elderly;;NO;5;
CQ028;CQ;Xiaoshulin Live;小树啉Live;CQ028_cover.jpg;restaurant;A riverside fusion barbecue restaurant popular for its night views and unique indoor wave projection design.;A combination of barbecue dining and scenic views. Live music performances.;Seats facing the river are the most recommended. Visiting around sunset on a clear day offers the best experience, while the indoor wave projection becomes more visible after dark.;Reservations can be made in advance via Dianping. Without a reservation, waiting times are usually around 30 minutes.;Foodie, River View, Cuisine, Instagram, Photography;29.5562;106.5725;Nanan;14:00;2:00;120;1;indoor;evening;solo, couple, friends, family, elderly;;YES;4;
CQ029;CQ;Sparkling Sky Bar;Sparkling Sky Bar;CQ029_cover.jpg;nightlife;One of Chongqing’s most popular rooftop river-view gardens, offering 360-degree views of the skyline, paired with cocktails, dining, and an energetic atmosphere.;Wide cocktail selection. Front-row river views. DJ-supported nightlife atmosphere.;Live band performances run daily from 19:00 to 22:00, with no minimum spending requirement. River-facing seats are highly recommended. Drone shows can sometimes be seen on weekend nights.;Reservations are recommended for river-view seating.;Skyline, River View, Modern, Instagram, Photography, Bar;29.5635;106.5862;Nanan;14:00;2:00;120;1;outdoor;evening;solo, couple, friends;;YES;4;
CQ030;CQ;Flavor Tiki;Flavor Tiki;CQ030_cover.jpg;nightlife;A highly rated specialty bar in Chongqing, known for its stylish atmosphere and relaxed setting, ideal for small gatherings with friends.;Creative cocktail menu. Comfortable and elegant environment.;Originally founded in Yunnan, the bar offers several regionally inspired cocktails with flavors rarely found elsewhere. Staff provide detailed introductions and recommended ways to enjoy each drink.;Private rooms require a minimum spend.;Modern, Bar;29.563;106.5816;Liangjiang;20:00;2:30;120;2;indoor;evening;solo, couple, friends;;NO;3;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
